vendor,name,spec,price,image_url,category,검색_쿼리,추정_인터넷총가,표본수,상태,최저가_링크,군마트가격(원),군마트_추출용량(g/ml),할인율(%)
나노폴리(주),나노믹스나노크린비누,100g,"2,370원",https://www.welfare.mil.kr/shop/imgView.do?p_code=30132&type=1,미용/위생,나노폴리 나노믹스나노크린비누 100g,,0,Capacity Parse Failed,,2370,100.0,
(주)무한타올,(주)무한타올블루,130g,"2,560원",https://www.welfare.mil.kr/shop/imgView.do?p_code=30138&type=1,생활용품,무한타올 주 무한타올블루 130g,17600.0,20,Success,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8311434186&ctag=8311434186&lptag=I23983396198&itemId=23983396198&vendorItemId=91004485599&spec=10305199,2560,130.0,85.5
(주)엘지생활건강,샤프란시트코튼블로썸50매,50매,"4,060원",https://www.welfare.mil.kr/shop/imgView.do?p_code=30142&type=1,생활용품,엘지생활건강 샤프란시트코튼블로썸50매,,0,Cache Miss,,4060,,
라이온코리아(주),비트아로마웨이브(일반),3L,"7,290원",https://www.welfare.mil.kr/shop/imgView.do?p_code=30148&type=1,생활용품,라이온코리아 비트아로마웨이브 일반 3L,19095.0,20,Success,https://search.shopping.naver.com/catalog/53316137058,7290,3000.0,61.8
라이온코리아(주),아이깨끗해항균폼핸드솝순,200ml,"1,570원",https://www.welfare.mil.kr/shop/imgView.do?p_code=30146&type=1,미용/위생,라이온코리아 아이깨끗해항균폼핸드솝순 200ml,7900.0,9,Success,https://smartstore.naver.com/main/products/5654139235,1570,200.0,80.1
동서식품(주),맥심모카골드 마일드커피믹스,600g,"7,930원",https://www.welfare.mil.kr/shop/imgView.do?p_code=4066&type=1,식품,동서식품 맥심모카골드 마일드커피믹스 600g,20435.0,12,Success,https://smartstore.naver.com/main/products/5926656433,7930,600.0,61.2
동서식품(주),맥심모카골드마일드 커피믹스,2.16kg,"26,620원",https://www.welfare.mil.kr/shop/imgView.do?p_code=4068&type=1,식품,동서식품 맥심모카골드마일드 커피믹스 2.16kg,209476.8,5,Success,https://smartstore.naver.com/main/products/9063603974,26620,2160.0,87.3
(주)도루코,도루코페이스4휴대용면도기4입,4입,"3,550원",https://www.welfare.mil.kr/shop/imgView.do?p_code=30160&type=1,미용/위생,도루코 도루코페이스4휴대용면도기4입,,0,Cache Miss,,3550,,
풀무원식품 주식회사,얇은피꽉찬속 김치만두,800g,"5,600원",https://www.welfare.mil.kr/shop/imgView.do?p_code=26860&type=1,식품,풀무원식품 얇은피꽉찬속 김치만두 800g,13000.0,20,Success,https://smartstore.naver.com/main/products/5108838945,5600,800.0,56.9
해태에이치티비,영진구론산스파클링,150ml,620원,https://www.welfare.mil.kr/shop/imgView.do?p_code=26914&type=1,음료,해태에이치티비 영진구론산스파클링 150ml,21040.0,19,Success,https://smartstore.naver.com/main/products/6544842601,620,150.0,97.1
농심켈로그(주),스페셜k 오리지날,480g,"4,710원",https://www.welfare.mil.kr/shop/imgView.do?p_code=26696&type=1,식품,농심켈로그 스페셜k 오리지날 480g,8900.0,1,Low Sample,https://www.megamart.com/product/12650736,4710,480.0,47.1
